# ja/nein/Enthaltung/ungueltig/nichtabgegeben: votes cast in each category across all Abstimmungen in range
# total_votes: sum of the above
# ratio_*: category / total_votes (weighted per vote, so a day with many bundled votes counts more)
# days_present/days_total/days_absent: sitting days attended/total/missed
#   (a day counts as attended if the member cast a real vote on at least one Abstimmung that day)
# ratio_days_present/ratio_days_absent: days_present/days_absent divided by days_total (weighted per day, not per vote)
Fraktion/Gruppe;Vorname;Name;ja;nein;Enthaltung;ungültig;nichtabgegeben;total_votes;ratio_ja;ratio_nein;ratio_Enthaltung;ratio_ungültig;ratio_nichtabgegeben;days_present;days_total;days_absent;ratio_days_present;ratio_days_absent;slug
CDU/CSU;Michael;Hose;54;14;0;0;0;68;0.7941176470588235;0.20588235294117646;0.0;0.0;0.0;32;32;0;1.0;0.0;Michael-Hose
CDU/CSU;David;Preisendanz;54;14;0;0;0;68;0.7941176470588235;0.20588235294117646;0.0;0.0;0.0;32;32;0;1.0;0.0;David-Preisendanz
CDU/CSU;Melanie;Bernstein;54;14;0;0;0;68;0.7941176470588235;0.20588235294117646;0.0;0.0;0.0;32;32;0;1.0;0.0;Melanie-Bernstein
AfD;Paul;Schmidt;22;43;3;0;0;68;0.3235294117647059;0.6323529411764706;0.04411764705882353;0.0;0.0;32;32;0;1.0;0.0;Paul-Schmidt
CDU/CSU;Michael;Breilmann;10;6;0;0;0;16;0.625;0.375;0.0;0.0;0.0;6;6;0;1.0;0.0;Michael-Breilmann
BÜ90/GR;Mayra;Vriesema;30;25;6;0;0;61;0.4918032786885246;0.4098360655737705;0.09836065573770492;0.0;0.0;28;28;0;1.0;0.0;Mayra-Vriesema
CDU/CSU;Nora;Seitz;54;14;0;0;0;68;0.7941176470588235;0.20588235294117646;0.0;0.0;0.0;32;32;0;1.0;0.0;Nora-Seitz
CDU/CSU;Oliver;Vogt;54;14;0;0;0;68;0.7941176470588235;0.20588235294117646;0.0;0.0;0.0;32;32;0;1.0;0.0;Oliver-Vogt
CDU/CSU;Christoph;Naser;10;6;0;0;0;16;0.625;0.375;0.0;0.0;0.0;6;6;0;1.0;0.0;Christoph-Naser
CDU/CSU;Christian;Stetten;54;14;0;0;0;68;0.7941176470588235;0.20588235294117646;0.0;0.0;0.0;32;32;0;1.0;0.0;Christian-Stetten
CDU/CSU;Peter;Aumer;54;14;0;0;0;68;0.7941176470588235;0.20588235294117646;0.0;0.0;0.0;32;32;0;1.0;0.0;Peter-Aumer
CDU/CSU;Philip M. A.;Hoffmann;54;14;0;0;0;68;0.7941176470588235;0.20588235294117646;0.0;0.0;0.0;32;32;0;1.0;0.0;Philip-M-A-Hoffmann
CDU/CSU;Philipp;Amthor;54;14;0;0;0;68;0.7941176470588235;0.20588235294117646;0.0;0.0;0.0;32;32;0;1.0;0.0;Philipp-Amthor
CDU/CSU;Ralph;Brinkhaus;54;14;0;0;0;68;0.7941176470588235;0.20588235294117646;0.0;0.0;0.0;32;32;0;1.0;0.0;Ralph-Brinkhaus
CDU/CSU;Ralph;Edelhäußer;54;14;0;0;0;68;0.7941176470588235;0.20588235294117646;0.0;0.0;0.0;32;32;0;1.0;0.0;Ralph-Edelhäußer
